index,name,region,diet,engineVersion,engineSource,status,engineQA,engineHardCount,engineWarnCount,extraHardCount,extraWarnCount,hard,warn,days,mainCounts
19,Generated scenario 19 AU mode 4,AU,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,5,0,0,,Day 1: beef snack repeats lunch/dinner protein. | Day 2: eggs snack repeats lunch/dinner protein. | Day 4: chicken snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: beef snack repeats lunch/dinner protein.,7,"{""beef"":5,""chicken"":5,""eggs"":4}"
20,Generated scenario 20 CA mode 5,CA,vegetarian,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,2,0,0,,Day 2: eggs snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein.,7,"{""beans"":2,""eggs"":3,""chickpeas"":3,""tofu"":3,""lentils"":3}"
21,Generated scenario 21 US mode 6,US,vegetarian,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""chickpeas"":3,""tofu"":3,""lentils"":4,""beans"":4}"
22,Generated scenario 22 SA mode 0,SA,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}"
23,Generated scenario 23 UK mode 1,UK,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,2,0,0,,Day 2: eggs snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein.,7,"{""pork"":3,""beef"":4,""eggs"":3,""fish"":4}"
24,Generated scenario 24 AU mode 2,AU,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""fish"":4,""chicken"":5,""eggs"":5}"
25,Generated scenario 25 CA mode 3,CA,pescatarian,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,4,0,0,,Day 2: eggs snack repeats lunch/dinner protein. | Day 3: fish snack repeats lunch/dinner protein. | Day 5: eggs snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein.,7,"{""eggs"":7,""fish"":7}"
26,Generated scenario 26 US mode 4,US,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,5,0,0,,Day 1: beef snack repeats lunch/dinner protein. | Day 2: eggs snack repeats lunch/dinner protein. | Day 4: chicken snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: beef snack repeats lunch/dinner protein.,7,"{""beef"":5,""chicken"":5,""eggs"":4}"
27,Generated scenario 27 SA mode 5,SA,vegetarian,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""beans"":2,""eggs"":3,""chickpeas"":3,""tofu"":3,""lentils"":3}"
28,Generated scenario 28 UK mode 6,UK,vegetarian,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""chickpeas"":3,""tofu"":3,""lentils"":4,""beans"":4}"
29,Generated scenario 29 AU mode 0,AU,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}"
30,Generated scenario 30 CA mode 1,CA,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,2,0,0,,Day 2: eggs snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein.,7,"{""pork"":3,""beef"":4,""eggs"":3,""fish"":4}"
31,Generated scenario 31 US mode 2,US,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""fish"":4,""chicken"":5,""eggs"":5}"
32,Generated scenario 32 SA mode 3,SA,pescatarian,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,4,0,0,,Day 2: eggs snack repeats lunch/dinner protein. | Day 3: fish snack repeats lunch/dinner protein. | Day 5: eggs snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein.,7,"{""eggs"":7,""fish"":7}"
33,Generated scenario 33 UK mode 4,UK,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,5,0,0,,Day 1: beef snack repeats lunch/dinner protein. | Day 2: eggs snack repeats lunch/dinner protein. | Day 4: chicken snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: beef snack repeats lunch/dinner protein.,7,"{""beef"":5,""chicken"":5,""eggs"":4}"
34,Generated scenario 34 AU mode 5,AU,vegetarian,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,2,0,0,,Day 2: eggs snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein.,7,"{""beans"":2,""eggs"":3,""chickpeas"":3,""tofu"":3,""lentils"":3}"
35,Generated scenario 35 CA mode 6,CA,vegetarian,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""chickpeas"":3,""tofu"":3,""lentils"":4,""beans"":4}"
36,Generated scenario 36 US mode 0,US,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}"
37,Generated scenario 37 SA mode 1,SA,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,2,0,0,,Day 2: eggs snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein.,7,"{""pork"":3,""beef"":4,""eggs"":3,""fish"":4}"
38,Generated scenario 38 UK mode 2,UK,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""fish"":4,""chicken"":5,""eggs"":5}"
39,Generated scenario 39 AU mode 3,AU,pescatarian,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,4,0,0,,Day 2: eggs snack repeats lunch/dinner protein. | Day 3: fish snack repeats lunch/dinner protein. | Day 5: eggs snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein.,7,"{""eggs"":7,""fish"":7}"
40,Generated scenario 40 CA mode 4,CA,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""beef"":5,""chicken"":5,""eggs"":4}"
41,Generated scenario 41 US mode 5,US,vegetarian,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,2,0,0,,Day 2: eggs snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein.,7,"{""beans"":2,""eggs"":3,""chickpeas"":3,""tofu"":3,""lentils"":3}"
42,Generated scenario 42 SA mode 6,SA,vegetarian,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""chickpeas"":3,""tofu"":3,""lentils"":4,""beans"":4}"
43,Generated scenario 43 UK mode 0,UK,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}"
44,Generated scenario 44 AU mode 1,AU,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,2,0,0,,Day 2: eggs snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein.,7,"{""pork"":3,""beef"":4,""eggs"":3,""fish"":4}"
45,Generated scenario 45 CA mode 2,CA,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""fish"":4,""chicken"":5,""eggs"":5}"
46,Generated scenario 46 US mode 3,US,pescatarian,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,4,0,0,,Day 2: eggs snack repeats lunch/dinner protein. | Day 3: fish snack repeats lunch/dinner protein. | Day 5: eggs snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein.,7,"{""eggs"":7,""fish"":7}"
47,Generated scenario 47 SA mode 4,SA,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,5,0,0,,Day 1: beef snack repeats lunch/dinner protein. | Day 2: eggs snack repeats lunch/dinner protein. | Day 4: chicken snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: beef snack repeats lunch/dinner protein.,7,"{""beef"":5,""chicken"":5,""eggs"":4}"
48,Generated scenario 48 UK mode 5,UK,vegetarian,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,2,0,0,,Day 2: eggs snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein.,7,"{""beans"":2,""eggs"":3,""chickpeas"":3,""tofu"":3,""lentils"":3}"
49,Generated scenario 49 AU mode 6,AU,vegetarian,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""chickpeas"":3,""tofu"":3,""lentils"":4,""beans"":4}"
50,Generated scenario 50 CA mode 0,CA,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}"
